trial_global,subtask,trial_in_subtask,image_a,image_b,choice,chosen_image,rt,reward,value_difference,q_value_chosen,q_value_unchosen,learning_progress,psychological_state,true_reward_chosen,learning_rate
25,0,25,0,2,0,0,1.1586297549218822,0.47371091707917323,0.09403868321898157,0.47990944649710293,0.5741398368114844,0.8675188581424631,disengaged,0.5,0.03
26,0,26,0,2,0,0,2.1233947870129803,0.4762304875310359,0.09423039031438146,0.4797990777281209,0.5741398368114844,0.8674549557773298,disengaged,0.5,0.03
27,0,27,2,0,0,2,2.7634430664818845,0.7176640795421577,0.09434075908336348,0.5784455640934046,0.4797990777281209,0.8674181661876691,disengaged,0.8,0.03
28,0,28,2,1,1,1,1.4187818360194655,0.22439531979085003,0.22676114811680675,0.34786574309102547,0.5784455640934046,0.8688534086149758,disengaged,0.2,0.03
29,0,29,2,1,1,1,0.2,0.13049563398502606,0.23057982100237917,0.34134463981784546,0.5784455640934046,0.8701262995768333,disengaged,0.2,0.03
30,0,30,0,2,1,2,0.8218947033150432,0.8020886488295962,0.09864648636528373,0.6119920268038334,0.4797990777281209,0.8723000006678934,engaged,0.8,0.15
31,0,31,0,1,0,0,0.9760101290758236,0.4337869154532401,0.13845443791027545,0.4728972533868888,0.34134463981784546,0.8834821549047029,engaged,0.5,0.15
32,0,32,2,0,1,0,0.4961338457083817,0.3888542043062968,0.13909477341694454,0.4602907960248,0.6119920268038334,0.881181546790959,engaged,0.5,0.15
33,0,33,2,1,0,2,0.9154756014939072,0.6829982349401088,0.2706473869859879,0.6226429580242747,0.34134463981784546,0.8769793943369293,engaged,0.8,0.15
34,0,34,1,2,1,2,0.40217737425108446,0.815175799224874,0.28129831820642925,0.6284189432602927,0.34134463981784546,0.880529704743743,disengaged,0.8,0.03
35,0,35,2,1,0,2,0.5495369921362169,0.7301049560536399,0.2870743034424472,0.6314695236440931,0.34134463981784546,0.882455033155749,disengaged,0.8,0.03
36,0,36,2,0,1,0,0.2189302890536189,0.5191660891734783,0.17117872761929315,0.46205705481926035,0.6314695236440931,0.8834718932836826,disengaged,0.5,0.03
37,0,37,0,1,1,1,0.7316425032481224,0.22859186604759826,0.12071241500141489,0.33796205660473805,0.46205705481926035,0.8840606462151693,disengaged,0.2,0.03
38,0,38,0,1,0,0,0.4073642770215452,0.5823228878346822,0.1240949982145223,0.48009692977157364,0.33796205660473805,0.8851881739528717,engaged,0.5,0.15
39,0,39,1,0,0,1,0.7689499040249902,0.11775684227451372,0.1421348731668356,0.3049312744552044,0.48009692977157364,0.8912014656036429,engaged,0.2,0.15
40,0,40,1,2,1,2,1.7913443160497935,0.790776579536672,0.32653824918888874,0.65536558202798,0.3049312744552044,0.9022117263201541,engaged,0.8,0.15
41,0,41,0,2,1,2,1.0747939429581097,0.775908875490638,0.17526865225640637,0.6734470760473787,0.48009692977157364,0.9101770791147831,engaged,0.8,0.15
42,0,42,1,2,1,2,0.2,0.8306014398017897,0.36851580159217434,0.6970202306105404,0.3049312744552044,0.916204243787916,engaged,0.8,0.15
43,0,43,2,1,1,1,1.5032474580302317,0.33669904326788436,0.392088956155336,0.30969643977710637,0.6970202306105404,0.9240619619756365,engaged,0.2,0.15
44,0,44,2,1,1,1,0.8711457477850039,0.3387644307057658,0.38732379083343405,0.3140566384164053,0.6970202306105404,0.9224735735350026,engaged,0.2,0.15
45,0,45,2,0,0,2,0.8203114132308437,1.0,0.21692330083896677,0.7424671960189594,0.48009692977157364,0.9210201739885696,engaged,0.8,0.15
46,0,46,1,0,1,0,0.2,0.32953029865037287,0.16604029135516835,0.45751193510339355,0.3140566384164053,0.9361691624580426,engaged,0.5,0.15
47,0,47,2,1,1,1,0.5122385992952742,0.015967096376582807,0.4284105576025541,0.2693432071104319,0.7424671960189594,0.9286408309019826,engaged,0.2,0.15
48,0,48,2,1,1,1,2.036839565876484,0.2487164440220192,0.47312398890852747,0.26624919264717,0.7424671960189594,0.9435453080039736,engaged,0.2,0.15
49,0,49,2,1,1,1,1.1485554693873268,0.0914543923103784,0.4762180033717894,0.24002997259665126,0.7424671960189594,0.9445766461583943,engaged,0.2,0.15
50,0,50,2,1,0,2,1.182437238809281,0.9617212574968624,0.5024372234223081,0.7753553052406449,0.24002997259665126,0.9533163861752338,engaged,0.8,0.15
51,0,51,1,0,0,1,2.999311871458901,0.1465284392189355,0.2174819625067423,0.2372249265953198,0.45751193510339355,0.9642790892491291,disengaged,0.2,0.03
52,0,52,0,1,0,0,0.2484349254938676,0.5092179509636487,0.22028700850807376,0.4590631155792012,0.2372249265953198,0.9652141045829062,disengaged,0.5,0.03
53,0,53,0,1,0,0,1.0873703828647892,0.6235782191822155,0.2218381889838814,0.4639985686872916,0.2372249265953198,0.9657311647415088,disengaged,0.5,0.03
54,0,54,0,2,0,0,0.39031812519809167,0.49511904118946315,0.3113567365533533,0.46493218286235677,0.7753553052406449,0.9673763157775389,disengaged,0.5,0.03
55,0,55,1,2,0,1,0.2,0.09127540611371975,0.5381303786453251,0.2328464409808718,0.7753553052406449,0.9676875205025606,disengaged,0.2,0.03
56,0,56,0,1,0,0,0.3971170272283905,0.4034242584393741,0.23208574188148498,0.4630869451296673,0.2328464409808718,0.9691470157073766,disengaged,0.5,0.03
57,0,57,1,0,1,0,0.2,0.4322435347664345,0.23024050414879552,0.4584604335751824,0.2328464409808718,0.9685319364631468,engaged,0.5,0.15
58,0,58,2,1,1,1,0.48661609513758614,0.08645391063018695,0.5425088642597731,0.21088756142826906,0.7753553052406449,0.9669897659449852,engaged,0.2,0.15
59,0,59,0,2,1,2,0.451069130739964,0.9422369861698509,0.3168948716654625,0.8003875573800258,0.4584604335751824,0.9743093924625194,engaged,0.8,0.15
60,0,60,2,1,0,2,2.2252876406398943,0.8383100212073221,0.5894999959517567,0.8060759269541202,0.21088756142826906,0.9823951049222959,engaged,0.8,0.15
61,0,61,0,1,0,0,1.2218650105040754,0.3496919698240182,0.24757287214691334,0.44214516401250775,0.21088756142826906,0.9804989817309311,engaged,0.5,0.15
62,0,62,1,2,1,2,0.7260605663713888,0.7043823116850353,0.5951883655258512,0.7908218846637575,0.21088756142826906,0.9750605585433728,engaged,0.8,0.15
63,0,63,1,2,1,2,0.5313502440685232,0.7621704725738788,0.5799343232354884,0.7865241728502756,0.21088756142826906,0.9740264957493321,engaged,0.8,0.15
64,0,64,2,0,0,2,0.6286708079426433,0.7932122227927023,0.3443790088377679,0.7875273803416396,0.44214516401250775,0.9725939251448381,engaged,0.8,0.15
65,0,65,1,2,1,2,0.307481720603018,0.8454013801716768,0.5766398189133706,0.7962084803161452,0.21088756142826906,0.9729283276419595,engaged,0.8,0.15
66,0,66,2,1,0,2,2.0380962236891254,0.5856632675862641,0.5853209188878762,0.7646266984066631,0.21088756142826906,0.9758220276334613,engaged,0.8,0.15
67,0,67,2,0,0,2,1.30559669332728,0.7779745398503912,0.32248153439415533,0.7666288746232223,0.44214516401250775,0.9652947669969673,engaged,0.8,0.15
68,0,68,0,1,0,0,1.1050518001871845,0.6247895958107921,0.2312576025842387,0.4695418287822504,0.21088756142826906,0.9659621590691536,engaged,0.5,0.15
69,0,69,0,1,0,0,2.5091121287072027,0.5009931019733271,0.25865426735398134,0.4742595197609119,0.21088756142826906,0.9750943806590678,engaged,0.5,0.15
70,0,70,1,0,0,1,0.704888736903281,0.242054510922812,0.2633719583326428,0.21182256991310536,0.4742595197609119,0.9766669443186217,disengaged,0.2,0.03
71,0,71,2,1,1,1,1.5893590294507063,0.16079873600808706,0.5548063047101169,0.2102918548959548,0.7666288746232223,0.9763552748236762,disengaged,0.2,0.03
72,0,72,2,1,1,1,1.0591249777324265,0.16076852312660966,0.5563370197272675,0.20880615494287447,0.7666288746232223,0.9768655131627264,disengaged,0.2,0.03
73,0,73,2,0,0,2,0.5335615936745038,0.647764081378211,0.29236935486231036,0.7487991556364706,0.4742595197609119,0.9773607464804199,engaged,0.8,0.15
74,0,74,2,1,0,2,1.5228652806626863,0.7296345450433489,0.5399930006935961,0.7459244640475023,0.20880615494287447,0.9714175068181693,engaged,0.8,0.15
75,0,75,1,2,1,2,1.364085420798642,0.7496919460895345,0.5371183091046279,0.7464895863538071,0.20880615494287447,0.9704592762885133,engaged,0.8,0.15
76,0,76,1,2,1,2,0.22191662007171536,0.8263839004248893,0.5376834314109327,0.7584737334644694,0.20880615494287447,0.9706476503906148,engaged,0.8,0.15
77,0,77,2,0,0,2,0.5653150567373619,0.7492924384476495,0.28421421370355754,0.7570965392119464,0.4742595197609119,0.974642366094169,engaged,0.8,0.15
78,0,78,2,1,0,2,0.2,0.7769599285794233,0.548290384269072,0.7600760476170679,0.20880615494287447,0.974183301343328,engaged,0.8,0.15
79,0,79,2,1,0,2,0.3149398282767228,0.6891742538184014,0.5512698926741935,0.749440778547268,0.20880615494287447,0.9751764708117018,engaged,0.8,0.15
80,0,80,1,0,0,1,0.2,0.10781401868746869,0.26545336481803744,0.1936573345045636,0.4742595197609119,0.9716313811217685,engaged,0.2,0.15
81,0,81,0,2,1,2,0.30949092496106756,0.7916615724725707,0.2751812587863561,0.7557738976360634,0.4742595197609119,0.9724525442709144,engaged,0.8,0.15
82,0,82,0,2,1,2,0.8739841043954383,0.6700418763072402,0.2815143778751515,0.74291409443674,0.4742595197609119,0.9745635839671796,engaged,0.8,0.15
83,0,83,0,2,1,2,1.3675420974919397,0.9189911397241168,0.26865457467582804,0.7693256512298465,0.4742595197609119,0.9702769829007385,engaged,0.8,0.15
84,0,84,2,0,0,2,1.5175436219847127,0.7866111073434284,0.2950661314689346,0.7719184696468838,0.4742595197609119,0.9790808351651074,engaged,0.8,0.15
85,0,85,1,2,1,2,0.28865371153872055,0.6555482662997727,0.5782611351423202,0.7544629391448171,0.1936573345045636,0.9799451079707864,engaged,0.8,0.15
86,0,86,2,1,0,2,1.8333856786874043,0.8069548087757243,0.5608056046402535,0.7623367195894531,0.1936573345045636,0.9741265978034308,engaged,0.8,0.15
87,0,87,1,0,0,1,1.2703933629858157,0.3424462013132635,0.2806021852563483,0.21597566452586858,0.4742595197609119,0.9767511912849762,engaged,0.2,0.15
88,0,88,0,2,1,2,1.2466527514008086,0.7165635821003984,0.28807719982854124,0.7554707489660949,0.4742595197609119,0.9735401916081655,engaged,0.8,0.15
89,0,89,1,0,1,0,1.6975829415295316,0.45632357627617826,0.2582838552350433,0.47156912823820185,0.21597566452586858,0.9712515347337127,engaged,0.5,0.15
90,0,90,1,2,0,1,0.2,0.35682397589196513,0.5394950844402263,0.23710291123078306,0.7554707489660949,0.9703547375594761,engaged,0.2,0.15
91,0,91,0,2,1,2,1.8027646613999595,0.8294224129013494,0.28390162072789304,0.7665634985563831,0.47156912823820185,0.9633123219911712,engaged,0.8,0.15
92,0,92,0,1,0,0,0.6448934682704317,0.40838080845187574,0.2344662170074188,0.4620908802702529,0.23710291123078306,0.967009905187934,engaged,0.5,0.15
93,0,93,1,0,1,0,0.3785249312172394,0.6595609823010948,0.22498796903946985,0.4917113955748792,0.23710291123078306,0.9638504891986176,engaged,0.5,0.15
94,0,94,0,2,0,0,2.1952615784317224,0.4865953416742805,0.27485210298150387,0.4909439874897894,0.7665634985563831,0.9737239943001598,engaged,0.5,0.15
95,0,95,1,0,1,0,0.2,0.3323091526030746,0.2538410762590063,0.4671487622567822,0.23710291123078306,0.9734681916051298,engaged,0.5,0.15
96,0,96,0,1,0,0,0.8374848522360094,0.36239577362106457,0.23004585102599914,0.45143581396142457,0.23710291123078306,0.965536449860794,engaged,0.5,0.15
97,0,97,1,0,0,1,0.5977030578935288,0.2999329711239754,0.2143329027306415,0.2465274202147619,0.45143581396142457,0.9602988004290082,engaged,0.2,0.15
98,0,98,0,1,1,1,0.6549581917456642,0.08463760097173241,0.20490839374666267,0.2222439473283075,0.45143581396142457,0.9571572974343485,engaged,0.2,0.15
99,0,99,0,1,0,0,0.8518459787768129,0.5465584016541032,0.22919186663311708,0.46570420211532637,0.2222439473283075,0.9652517883965,engaged,0.5,0.15
100,0,100,2,1,0,2,1.7535765337343765,0.7526829929363962,0.5443195512280756,0.764481422713385,0.2222439473283075,0.9700079177811339,engaged,0.8,0.15
101,0,101,1,0,1,0,0.7574792960589143,0.3743493105720743,0.24346025478701888,0.4520009683838386,0.2222439473283075,0.9693138925001347,engaged,0.5,0.15
102,0,102,2,0,0,2,1.3365773867842499,0.8542704397976725,0.31248045432954646,0.7779497752760282,0.4520009683838386,0.964746147922972,engaged,0.8,0.15
103,0,103,1,0,1,0,0.30614782032843035,0.4668691616816677,0.22975702105553109,0.4542311973785129,0.2222439473283075,0.9692355987771863,engaged,0.5,0.15
104,0,104,0,1,0,0,0.46580843704112546,0.4728518532393065,0.23198725005020543,0.457024295757632,0.2222439473283075,0.9699790084420779,engaged,0.5,0.15
105,0,105,1,2,1,2,0.8077993372194688,0.78745457399971,0.5557058279477207,0.7793754950845804,0.2222439473283075,0.9709100412351175,engaged,0.8,0.15
106,0,106,2,0,0,2,0.9599976474501986,0.9064876739290239,0.3223511993269484,0.7984423219112469,0.457024295757632,0.9713852811713016,engaged,0.8,0.15
107,0,107,1,0,0,1,1.4791222054645772,0.24826878872092129,0.2347803484293245,0.22614767353719956,0.457024295757632,0.9777408901135238,engaged,0.2,0.15
108,0,108,0,1,0,0,0.2858223987811878,0.5359020152555939,0.23087662222043243,0.46885595368232624,0.22614767353719956,0.976439648043893,engaged,0.5,0.15
109,0,109,2,1,0,2,0.5090916633372258,0.7704910085762094,0.5722946483740473,0.7942496249109913,0.22614767353719956,0.9803835340187912,engaged,0.8,0.15
110,0,110,2,1,0,2,0.4033162196493227,0.8963244987386545,0.5681019513737917,0.8095608559851407,0.22614767353719956,0.9789859683520393,engaged,0.8,0.15
111,0,111,2,0,0,2,1.131871461224337,0.8348690451757246,0.34070490230281447,0.8133570843637283,0.46885595368232624,0.9777158080533287,engaged,0.8,0.15
112,0,112,0,1,0,0,0.6338417923236945,0.46624717141501393,0.2427082801451267,0.4684646363422294,0.22614767353719956,0.9764503985937995,engaged,0.5,0.15
113,0,113,1,0,0,1,0.3906412454623173,0.30213832954293984,0.24231696280502985,0.22842739321737177,0.4684646363422294,0.9763199594804338,disengaged,0.2,0.03
114,0,114,1,0,0,1,0.591894803499609,0.37198462111025854,0.24003724312485764,0.23273411005415837,0.4684646363422294,0.9755600529203765,disengaged,0.2,0.03
115,0,115,2,1,0,2,2.1955503930075357,0.8251836750623619,0.58062297430957,0.8137118820846874,0.23273411005415837,0.9741244806414476,disengaged,0.8,0.03
116,0,116,1,2,1,2,0.24718438198508846,0.8651136241823657,0.580977772030529,0.8152539343476177,0.23273411005415837,0.9740062147344613,disengaged,0.8,0.03
117,0,117,1,2,0,1,1.5886190587453581,0.2937391149279786,0.5825198242934594,0.23456426020037296,0.8152539343476177,0.9734921973134845,disengaged,0.2,0.03
118,0,118,0,1,1,1,2.4655764571129075,0.21320209226175574,0.23390037614185644,0.23392339516221444,0.4684646363422294,0.9728821472647462,disengaged,0.2,0.03
119,0,119,1,2,1,2,2.7006852137550204,0.7199961435602353,0.5813305391854033,0.8123962006239962,0.23392339516221444,0.9730957689441324,disengaged,0.8,0.03
120,0,120,2,0,0,2,0.7551037907558372,0.8940696143822683,0.3439315642817668,0.8148464030367444,0.4684646363422294,0.9740483468520063,disengaged,0.8,0.03
121,0,121,0,1,0,0,0.47120419718923473,0.3123447293958126,0.23454124118001496,0.4637810391338369,0.23392339516221444,0.9732316127144236,disengaged,0.5,0.03
122,0,122,1,0,1,0,3.632464053028581,0.5811143259109911,0.22985764397162245,0.46730103773715154,0.23392339516221444,0.9716704136449594,disengaged,0.5,0.03
123,0,123,0,1,1,1,4.201879251132582,0.25987943895619103,0.2333776425749371,0.23470207647603375,0.46730103773715154,0.9728437465127309,disengaged,0.2,0.03
124,0,124,0,1,0,0,1.2631163510113574,0.6396596891581264,0.2325989612611178,0.49315483545029776,0.23470207647603375,0.9725841860747911,engaged,0.5,0.15
125,0,125,2,1,0,2,0.975272814693814,0.8409762795959498,0.5801443265607107,0.8187658845206252,0.23470207647603375,0.98120211864584,engaged,0.8,0.15
126,0,126,1,2,0,1,0.3380451176416142,0.22965755451407618,0.5840638080445915,0.23394539818174012,0.8187658845206252,0.9798956248178796,engaged,0.2,0.15
127,0,127,2,1,0,2,1.0088700437542413,0.8784127590864701,0.5848204863388851,0.8277129157055019,0.23394539818174012,0.9801478509159776,engaged,0.8,0.15
128,0,128,1,2,1,2,0.9057343121719963,0.9809306349733111,0.5937675175237618,0.8506955735956733,0.23394539818174012,0.9771655071876852,engaged,0.8,0.15
129,0,129,0,2,0,0,0.6288018951824181,0.42419146733128005,0.3575407381453755,0.48281033023244513,0.8506955735956733,0.9695046212242948,engaged,0.5,0.15
130,0,130,0,2,1,2,0.4153636924276202,0.709224381985308,0.36788524336322814,0.8294748948541185,0.48281033023244513,0.966056452818344,engaged,0.8,0.15
131,0,131,2,0,0,2,2.0259201189012757,0.8926605508044407,0.3466645646216734,0.8389527432466668,0.48281033023244513,0.9731300123988622,engaged,0.8,0.15
132,0,132,1,0,1,0,0.28631585084903405,0.3824405394375148,0.248864932050705,0.46775486161320556,0.23394539818174012,0.9699707296013461,engaged,0.5,0.15
133,0,133,2,1,0,2,0.3270202206749812,0.8614025647258481,0.6050073450649267,0.8423202164685439,0.23394539818174012,0.9649522400615995,engaged,0.8,0.15
134,0,134,1,0,0,1,1.1523613619967872,0.10505756732742359,0.23380946343146544,0.21461222355359263,0.46775486161320556,0.9638297489876405,engaged,0.2,0.15
135,0,135,1,2,1,2,2.7612350360227946,0.7795906702984413,0.6277079929149513,0.8404383300834408,0.21461222355359263,0.9702741405303563,disengaged,0.8,0.03
136,0,136,0,2,0,0,0.8485449383436572,0.5335058029084118,0.37268346847023526,0.46972738985206175,0.8404383300834408,0.9709014359920574,disengaged,0.5,0.03
137,0,137,1,0,1,0,1.75763593311597,0.6041852143748029,0.2551151662984691,0.473761124587744,0.21461222355359263,0.9715589454050094,disengaged,0.5,0.03
138,0,138,1,0,1,0,0.586976909233441,0.6214797056894386,0.25914890103415134,0.47819268202079485,0.21461222355359263,0.9729035236502369,disengaged,0.5,0.03
139,0,139,0,1,1,1,0.26593164274803877,0.3113360505943939,0.26358045846720224,0.21751393836481667,0.47819268202079485,0.9743807094612538,disengaged,0.2,0.03
140,0,140,0,1,1,1,0.2,0.2193569399253578,0.2606787436559782,0.2175692284116329,0.47819268202079485,0.9734134711908458,disengaged,0.2,0.03
141,0,141,1,0,0,1,0.2,0.14468078165651133,0.26062345360916195,0.21538257500897925,0.47819268202079485,0.9733950411752403,disengaged,0.2,0.03
142,0,142,0,1,1,1,0.7229415837609552,0.2625508016831036,0.2628101070118156,0.21679762180920298,0.47819268202079485,0.9741239256427916,disengaged,0.2,0.03
143,0,143,2,1,0,2,0.7520859554550914,0.905874382991481,0.6236407082742379,0.842401411670682,0.21679762180920298,0.9736522433760504,disengaged,0.8,0.03
144,0,144,1,0,0,1,0.6238584740581054,0.20951565226824642,0.26139506021159187,0.21657916272297428,0.47819268202079485,0.97299788284697,disengaged,0.2,0.03
145,0,145,2,1,0,2,0.2,1.0,0.6258222489477078,0.8471293693205616,0.21657916272297428,0.9730707025423795,disengaged,0.8,0.03
146,0,146,0,2,1,2,0.2,0.5949651678437551,0.36893668729976675,0.8093047390990407,0.47819268202079485,0.9714947166590864,engaged,0.8,0.15
147,0,147,2,0,0,2,1.6837875303627867,0.8299774563721565,0.3311120570782458,0.812405646690008,0.47819268202079485,0.9841029267329267,engaged,0.8,0.15
148,0,148,0,2,1,2,0.8752966677358797,0.7163822118512704,0.3342129646692132,0.7980021314641974,0.47819268202079485,0.9830692908692709,engaged,0.8,0.15
149,0,149,2,1,0,2,0.8443565777906434,0.873849083260634,0.5814229687412231,0.8093791742336629,0.21657916272297428,0.9865385502540059,engaged,0.8,0.15
150,0,150,0,2,1,2,1.046442974530813,0.8001461834191483,0.33118649221286806,0.8079942256114857,0.47819268202079485,0.9840781150213859,engaged,0.8,0.15
151,0,151,1,0,1,0,0.4674416812365736,0.4363474276824398,0.26161351929782056,0.47191589387004157,0.21657916272297428,0.9845397645621117,engaged,0.5,0.15
152,0,152,1,0,1,0,0.5844662216752436,0.41361354341269574,0.2553367311470673,0.4631705413014397,0.21657916272297428,0.9824475018451939,engaged,0.5,0.15
153,0,153,1,2,1,2,0.4102603075612635,0.78223060228866,0.5914150628885114,0.8041296821130619,0.21657916272297428,0.9795323843223266,engaged,0.8,0.15
154,0,154,2,0,0,2,0.5028920015999708,0.771512450663033,0.3409591408116222,0.7992370973955576,0.4631705413014397,0.9808205654884679,engaged,0.8,0.15
155,0,155,2,1,1,1,0.2113381840568607,0.16184758608084276,0.5826579346725833,0.21493721542371033,0.7992370973955576,0.9819428253246744,disengaged,0.2,0.03
156,0,156,2,1,1,1,0.9833570972767007,0.22867298390837915,0.5842998819718472,0.21534928847825038,0.7992370973955576,0.9824901410910957,disengaged,0.2,0.03
157,0,157,0,1,1,1,2.2222981537277193,0.19239032313880408,0.24782125282318931,0.214660519518067,0.4631705413014397,0.982352783406249,disengaged,0.2,0.03
158,0,158,0,2,1,2,0.2,0.8781362222362511,0.3360665560941179,0.8016040711407784,0.4631705413014397,0.9825823730596435,disengaged,0.8,0.03
159,0,159,1,2,0,1,0.5989442729519415,0.08543414288346451,0.5869435516227114,0.21078372821902894,0.8016040711407784,0.9823019835475315,disengaged,0.2,0.03
160,0,160,2,1,1,1,1.2726452027769088,0.236873314731752,0.5908203429217495,0.21156641581441063,0.8016040711407784,0.9835942473138775,disengaged,0.2,0.03
161,0,161,1,0,1,0,3.439617288632404,0.45755512968575185,0.25160412548702904,0.4630020789529691,0.21156641581441063,0.9833333514487502,disengaged,0.5,0.03
162,0,162,0,1,0,0,0.5792388815470485,0.6690177633345957,0.2514356631385585,0.4691825494844179,0.21156641581441063,0.9832771973325933,disengaged,0.5,0.03
163,0,163,1,2,1,2,1.2682499816543242,0.5903324301430205,0.5900376553263678,0.7952659219108457,0.21156641581441063,0.9853373541764097,disengaged,0.8,0.03
164,0,164,0,1,1,1,0.6472467494859049,0.11627375689502997,0.25761613367000724,0.2087076360468292,0.4691825494844179,0.984294018526951,disengaged,0.2,0.03
165,0,165,2,1,1,1,0.9600512531748492,0.18091586813566493,0.5865582858640165,0.20453887086015457,0.7952659219108457,0.9852469451161447,engaged,0.2,0.15
166,0,166,2,0,1,0,0.5947606221649492,0.5738915471043683,0.32608337242642776,0.48488889912741046,0.7952659219108457,0.986636533511703,engaged,0.5,0.15
167,0,167,1,2,1,2,0.8032221908625788,0.6331561246097372,0.5907270510506911,0.7709494523156794,0.20453887086015457,0.9918719833927006,engaged,0.8,0.15
168,0,168,0,1,1,1,1.8966408288739445,0.3661441013728396,0.28035002826725586,0.22877965543705733,0.48488889912741046,0.9837664935276451,engaged,0.2,0.15
169,0,169,1,2,0,1,0.2,0.14153822693428006,0.542169796878622,0.21569344116164074,0.7709494523156794,0.9756862320020108,engaged,0.2,0.15
170,0,170,0,2,1,2,0.44257661281951993,0.7267107114272775,0.2860605531882689,0.7643136411824191,0.48488889912741046,0.9800483034271497,engaged,0.8,0.15
171,0,171,1,0,1,0,0.4665779687912737,0.5457686586053552,0.2691954579657697,0.49402086304910214,0.21569344116164074,0.9778363663827296,engaged,0.5,0.15
172,0,172,2,0,0,2,1.7184020384740082,0.7634664046987529,0.2702927781333169,0.7641865557098692,0.49402086304910214,0.9808803543566268,engaged,0.8,0.15
173,0,173,2,1,0,2,0.811910797954766,0.5869433520192799,0.5484931145482284,0.7376000751562808,0.21569344116164074,0.9808379925324435,engaged,0.8,0.15
