trial,subtask,trial_in_subtask,psychological_state,choice_correct,rt,chosen_image,was_rewarded,learning_rate,learning_progress
30,0,30,engaged,1,0.3037158102894083,0,True,0.35,0.833886599174792
31,0,31,engaged,1,2.3132079050592353,0,True,0.35,0.9354935973073669
32,0,32,engaged,1,0.39363907143523236,0,True,0.35,1.0
33,0,33,engaged,1,0.6734380105796623,0,True,0.35,1.0
34,0,34,engaged,1,1.0884104047979173,0,True,0.35,1.0
35,0,35,engaged,0,1.1123042923240958,2,False,0.35,1.0
36,0,36,engaged,1,0.673429619024101,0,True,0.35,1.0
37,0,37,engaged,0,1.7851884172595027,1,False,0.35,1.0
38,0,38,engaged,0,2.6804943712686518,2,False,0.35,1.0
39,0,39,engaged,0,2.2809918511197074,1,False,0.35,1.0
40,0,40,engaged,1,2.045230895710771,0,True,0.35,1.0
41,0,41,engaged,1,0.9796123412257233,0,True,0.35,1.0
42,0,42,engaged,0,1.410524523693719,1,False,0.35,1.0
43,0,43,engaged,1,2.431470283820346,0,True,0.35,1.0
44,0,44,engaged,1,0.9490046563474561,0,True,0.35,1.0
45,0,45,engaged,0,0.5824732681861285,1,True,0.35,1.0
46,0,46,engaged,1,1.0267053728043194,0,True,0.35,1.0
47,0,47,engaged,1,1.9321482167720214,0,True,0.35,1.0
48,0,48,engaged,0,1.4846500708805568,1,False,0.35,1.0
49,0,49,engaged,0,1.0536304376600159,1,True,0.35,1.0
50,0,50,engaged,0,1.0316253091051775,1,False,0.35,1.0
51,0,51,engaged,0,1.531202123672771,2,False,0.35,1.0
52,0,52,engaged,1,1.4492207008794595,0,True,0.35,1.0
53,0,53,engaged,0,3.1544176440005516,1,False,0.35,1.0
54,0,54,engaged,1,1.812496504620991,0,True,0.35,1.0
55,0,55,engaged,1,0.8810789207649988,0,True,0.35,1.0
56,0,56,engaged,1,1.7197280202795941,0,True,0.35,1.0
57,0,57,engaged,1,0.9248836779908104,0,True,0.35,1.0
58,0,58,engaged,1,0.7760096552359188,0,True,0.35,1.0
59,0,59,engaged,1,0.8419645092246857,0,True,0.35,1.0
60,0,60,engaged,1,0.5804823519271746,0,True,0.35,1.0
61,0,61,engaged,1,0.2,0,True,0.35,1.0
62,0,62,engaged,1,1.0408736388436681,0,True,0.35,1.0
63,0,63,engaged,1,0.5618894424825654,0,True,0.35,1.0
64,0,64,engaged,1,0.9761702476148629,0,True,0.35,1.0
65,0,65,engaged,1,0.25513379446293566,0,True,0.35,1.0
66,0,66,engaged,1,1.0152202618518305,0,True,0.35,1.0
67,0,67,disengaged,0,0.5696768566284538,1,False,0.05,1.0
68,0,68,disengaged,0,0.5694424747799193,2,False,0.05,1.0
69,0,69,disengaged,1,1.8554186721632633,0,True,0.05,1.0
70,0,70,disengaged,0,2.336376228644483,1,True,0.05,1.0
71,0,71,disengaged,0,1.6328205949883845,1,False,0.05,1.0
72,0,72,disengaged,1,1.4514532759534862,0,True,0.05,1.0
73,0,73,disengaged,0,0.8109333175441937,2,False,0.05,1.0
74,0,74,disengaged,0,2.6137724385106007,2,False,0.05,1.0
75,0,75,disengaged,0,1.7753022750417007,2,False,0.05,1.0
76,0,76,disengaged,1,5.0,0,True,0.05,1.0
77,0,77,disengaged,0,0.4249446175618418,2,False,0.05,1.0
78,0,78,disengaged,0,1.2337362569983379,1,True,0.05,1.0
79,0,79,disengaged,0,1.408882634085369,1,False,0.05,1.0
80,0,80,engaged,1,2.7363654895063414,0,True,0.35,1.0
81,0,81,disengaged,1,0.6645470972546632,0,False,0.05,1.0
82,0,82,disengaged,0,0.34865467194964966,1,False,0.05,1.0
83,0,83,engaged,0,0.9400151154722411,1,False,0.35,1.0
84,0,84,engaged,0,3.921999381946072,2,False,0.35,1.0
85,0,85,engaged,1,4.480440102869922,0,False,0.35,0.6941866493418138
86,0,86,engaged,1,0.9468978663780726,0,True,0.35,0.8446886299159311
87,0,87,engaged,1,2.242101009769594,0,True,0.35,0.9425149172891073
88,0,88,engaged,1,1.8578297441004619,0,True,0.35,1.0
89,0,89,engaged,1,0.6270766166511624,0,True,0.35,1.0
90,0,90,engaged,1,0.7232771433592582,0,True,0.35,1.0
91,0,91,engaged,1,1.235831636412126,0,True,0.35,1.0
92,0,92,engaged,1,0.20737249425833293,0,True,0.35,1.0
93,0,93,engaged,1,0.6148398360460614,0,False,0.35,0.7170230930127659
94,0,94,engaged,1,1.218459238418671,0,True,0.35,0.8595323183020499
95,0,95,engaged,0,0.773672940023463,2,False,0.35,0.8595323183020499
96,0,96,engaged,1,1.9628871360459406,0,True,0.35,0.9521633147400844
97,0,97,engaged,1,0.2,0,True,0.35,1.0
98,0,98,engaged,1,0.5776671198784582,0,True,0.35,1.0
99,0,99,engaged,1,1.3855770248433037,0,True,0.35,1.0
100,0,100,engaged,1,2.107834788030061,0,True,0.35,1.0
101,0,101,engaged,1,1.5988055846634512,0,True,0.35,1.0
102,0,102,engaged,1,0.911367949504209,0,True,0.35,1.0
103,0,103,engaged,0,2.1094619360881737,1,False,0.35,1.0
104,0,104,engaged,1,0.36162004811958176,0,True,0.35,1.0
105,0,105,disengaged,0,0.2,2,False,0.05,1.0
106,0,106,disengaged,0,1.6410541597211379,1,False,0.05,1.0
107,0,107,disengaged,0,2.0340583418924396,1,False,0.05,1.0
108,0,108,engaged,1,1.8268841852981281,0,True,0.35,1.0
109,0,109,engaged,1,0.7563999058063715,0,True,0.35,1.0
110,0,110,engaged,1,0.8448876042568905,0,True,0.35,1.0
111,0,111,disengaged,0,0.4873636073443034,1,True,0.05,1.0
112,0,112,disengaged,0,1.6821427023554727,1,True,0.05,1.0
113,0,113,disengaged,0,1.3768910826955687,1,True,0.05,1.0
114,0,114,disengaged,0,1.674149038462192,2,False,0.05,1.0
115,0,115,disengaged,0,1.6851903890900664,1,False,0.05,1.0
116,0,116,disengaged,0,0.7356454764730477,2,False,0.05,1.0
117,0,117,disengaged,1,2.585107459017594,0,True,0.05,1.0
118,0,118,disengaged,0,2.180358380186012,2,False,0.05,1.0
119,0,119,disengaged,0,1.3107102123744059,1,False,0.05,1.0
120,0,120,disengaged,0,3.309483388618614,2,False,0.05,1.0
121,0,121,disengaged,0,2.0369228871642377,2,False,0.05,1.0
122,0,122,engaged,1,1.0615738251639657,0,True,0.35,1.0
123,0,123,engaged,1,2.655344563479247,0,True,0.35,1.0
124,0,124,engaged,1,0.3827060526192382,0,True,0.35,1.0
125,0,125,engaged,0,1.9220727700310887,2,False,0.35,1.0
126,0,126,engaged,0,0.9951269198573844,2,False,0.35,1.0
127,0,127,engaged,0,1.4925114119764866,1,False,0.35,1.0
128,0,128,engaged,1,1.110582680862198,0,True,0.35,1.0
129,0,129,engaged,1,1.055138042255899,0,True,0.35,1.0
130,0,130,engaged,1,0.6591131347539503,0,True,0.35,1.0
131,0,131,engaged,0,0.49576299324388823,1,True,0.35,1.0
132,0,132,disengaged,0,1.2053946595069198,1,False,0.05,1.0
133,0,133,disengaged,1,0.31958189960519084,0,True,0.05,1.0
134,0,134,disengaged,1,4.000921861276474,0,True,0.05,1.0
135,0,135,disengaged,1,5.0,0,False,0.05,1.0
136,0,136,disengaged,1,0.6330533862351712,0,True,0.05,1.0
137,0,137,engaged,1,2.056242984826814,0,True,0.35,1.0
138,0,138,engaged,1,1.119059474879088,0,True,0.35,1.0
139,0,139,engaged,1,0.43066089851231415,0,False,0.35,0.7160231458819593
140,0,140,engaged,0,3.7399457338420485,2,False,0.35,0.7160231458819593
141,0,141,engaged,0,0.3218902658662879,1,False,0.35,0.7160231458819593
142,0,142,engaged,0,1.1555964492645412,2,False,0.35,0.7160231458819593
143,0,143,engaged,1,0.8896959449178808,0,True,0.35,0.8588823526670255
144,0,144,engaged,0,1.34813883742564,1,False,0.35,0.8588823526670255
145,0,145,engaged,1,2.167226800816996,0,True,0.35,0.9517408370773186
146,0,146,engaged,1,0.6003555468921782,0,True,0.35,1.0
147,0,147,engaged,1,1.3210190595973976,0,True,0.35,1.0
148,0,148,disengaged,0,0.3465568323558546,1,False,0.05,1.0
149,0,149,engaged,1,1.4127477482392268,0,True,0.35,1.0
150,0,150,disengaged,0,0.4755609181585834,1,False,0.05,1.0
151,0,151,engaged,1,0.33259211928229454,0,True,0.35,1.0
152,0,152,engaged,1,1.2946198296733489,0,True,0.35,1.0
153,0,153,engaged,1,1.5633717679545358,0,True,0.35,1.0
154,0,154,engaged,1,0.23516187413776746,0,True,0.35,1.0
155,0,155,engaged,1,1.9003388688578635,0,True,0.35,1.0
156,0,156,engaged,1,0.2,0,True,0.35,1.0
157,0,157,engaged,1,1.1694267065071329,0,False,0.35,0.7284033303871351
158,0,158,disengaged,1,2.3796279983151747,0,True,0.05,0.7481927792740287
159,0,159,disengaged,0,0.5542627027914331,2,False,0.05,0.7481927792740287
160,0,160,disengaged,0,3.43201375336985,1,False,0.05,0.7481927792740287
161,0,161,disengaged,0,1.3091499370216677,2,False,0.05,0.7481927792740287
162,0,162,disengaged,0,2.2562877801468386,1,False,0.05,0.7481927792740287
163,0,163,disengaged,0,0.5805658071081239,2,False,0.05,0.7481927792740287
164,0,164,disengaged,0,4.143678229040942,1,True,0.05,0.7481927792740287
165,0,165,engaged,0,1.6979257513126966,1,False,0.35,0.7481927792740287
166,0,166,engaged,1,0.9698268800263831,0,True,0.35,0.8797926143718707
167,0,167,engaged,0,0.2,1,False,0.35,0.8797926143718707
168,0,168,engaged,1,1.4139419528260673,0,True,0.35,0.965332507185468
169,0,169,engaged,1,0.5016647427830274,0,True,0.35,1.0
170,0,170,engaged,0,2.701905976356207,2,False,0.35,1.0
171,0,171,engaged,1,1.5605649606380978,0,True,0.35,1.0
172,0,172,engaged,1,0.2,0,False,0.35,0.6870981274482332
173,0,173,engaged,0,1.2692219267945408,2,False,0.35,0.6870981274482332
174,0,174,engaged,0,1.0097935408530132,1,False,0.35,0.6870981274482332
175,0,175,engaged,1,0.9235294142932389,0,True,0.35,0.8400810906851036
176,0,176,engaged,1,0.5631782578201052,0,True,0.35,0.9395200167890694
177,0,177,engaged,0,1.2513377248678825,2,False,0.35,0.9395200167890694
178,0,178,engaged,1,0.7935577380400801,0,True,0.35,1.0
179,0,179,disengaged,0,3.192926008772851,2,False,0.05,1.0
180,0,180,disengaged,0,2.0463997233526143,2,False,0.05,1.0
181,0,181,disengaged,0,3.1864126439363663,1,True,0.05,1.0
182,0,182,disengaged,0,0.5874156865835269,2,False,0.05,1.0
183,0,183,disengaged,1,0.449829652954326,0,True,0.05,1.0
184,0,184,disengaged,1,0.2364233222314534,0,True,0.05,1.0
185,0,185,disengaged,0,0.9932062148695175,1,True,0.05,1.0
186,0,186,disengaged,1,5.0,0,True,0.05,1.0
187,0,187,disengaged,1,0.8359059367969133,0,True,0.05,1.0
188,0,188,disengaged,0,2.837692666182343,1,False,0.05,1.0
189,0,189,disengaged,0,2.1874301028318293,2,False,0.05,1.0
190,0,190,disengaged,0,0.4716925629995807,2,False,0.05,1.0
191,0,191,disengaged,0,1.1932761804112866,1,False,0.05,1.0
192,0,192,engaged,1,0.8380928994436406,0,True,0.35,1.0
193,0,193,engaged,1,0.8747847052408436,0,True,0.35,1.0
194,0,194,engaged,1,1.950869587762956,0,True,0.35,1.0
195,0,195,engaged,1,1.3257570159509042,0,True,0.35,1.0
196,0,196,engaged,1,0.24317324843444946,0,True,0.35,1.0
197,0,197,engaged,1,0.34059594212990807,0,True,0.35,1.0
198,0,198,disengaged,0,0.23142673535885888,1,False,0.05,1.0
199,0,199,disengaged,0,0.2,1,False,0.05,1.0
200,0,200,disengaged,0,2.86105069787838,1,False,0.05,1.0
201,0,201,disengaged,1,2.1358809184461234,0,True,0.05,1.0
202,0,202,disengaged,0,1.0671317534598528,1,True,0.05,1.0
203,0,203,disengaged,0,2.7350217847976332,1,False,0.05,1.0
204,0,204,disengaged,1,0.7406532079955955,0,True,0.05,1.0
205,0,205,disengaged,0,2.7075857681942805,1,False,0.05,1.0
206,0,206,disengaged,1,4.290736934450235,0,True,0.05,1.0
207,0,207,disengaged,1,0.8919606631397805,0,True,0.05,1.0
208,0,208,disengaged,1,2.4676799599734487,0,True,0.05,1.0
209,0,209,disengaged,0,0.5512519631628354,1,True,0.05,1.0
210,0,210,disengaged,0,1.2705185165320674,1,False,0.05,1.0
211,0,211,disengaged,1,1.8470987089727051,0,True,0.05,1.0
212,0,212,disengaged,0,0.5382257574624981,1,False,0.05,1.0
213,0,213,disengaged,1,0.4521972887114103,0,True,0.05,1.0
214,0,214,disengaged,0,1.938687288536246,1,False,0.05,1.0
215,0,215,disengaged,0,2.775428323798654,1,True,0.05,1.0
216,0,216,disengaged,0,0.459383121415681,2,False,0.05,1.0
217,0,217,disengaged,0,1.004983343012104,1,False,0.05,1.0
218,0,218,disengaged,1,0.5583006099251064,0,True,0.05,1.0
219,0,219,engaged,1,0.5252446075483407,0,True,0.35,1.0
220,0,220,engaged,1,0.4422452996387199,0,True,0.35,1.0
221,0,221,engaged,1,1.2647358885718365,0,True,0.35,1.0
222,0,222,engaged,0,1.638009026478109,2,False,0.35,1.0
223,0,223,engaged,1,4.300598289628394,0,False,0.35,0.7298517636927507
224,0,224,engaged,0,2.65379696307872,1,False,0.35,0.7298517636927507
225,0,225,engaged,1,0.9087115444970959,0,True,0.35,0.86787095424404
226,0,226,engaged,1,0.40885327109842273,0,True,0.35,0.957583428102378
227,0,227,engaged,1,0.9071176301126549,0,True,0.35,1.0
228,0,228,engaged,1,0.7508060803777473,0,True,0.35,1.0
229,0,229,engaged,1,0.5186664698547335,0,True,0.35,1.0
230,0,230,disengaged,0,2.114857637304972,2,False,0.05,1.0
231,0,231,disengaged,0,1.2038758691745313,2,False,0.05,1.0
232,0,232,engaged,0,2.394257343051213,1,False,0.35,1.0
233,0,233,engaged,1,0.6946010365234466,0,True,0.35,1.0
234,0,234,engaged,0,3.4502885497490556,1,True,0.35,1.0
235,0,235,engaged,1,1.1025316872941353,0,False,0.35,0.7113935281280533
236,0,236,engaged,1,1.4947203228000192,0,True,0.35,0.8558731011269867
237,0,237,engaged,1,2.213588947237026,0,True,0.35,0.9497848235762933
238,0,238,engaged,0,1.018276055754916,2,False,0.35,0.9497848235762933
239,0,239,engaged,1,0.2635971560515787,0,True,0.35,1.0
240,0,240,engaged,1,1.5748851718938888,0,True,0.35,1.0
241,0,241,engaged,1,2.24318527270932,0,True,0.35,1.0
242,0,242,engaged,1,0.46099966207494386,0,True,0.35,1.0
243,0,243,engaged,0,0.21995051771871216,1,False,0.35,1.0
244,0,244,engaged,1,1.7160414266348174,0,True,0.35,1.0
245,0,245,engaged,1,0.9740929428777348,0,True,0.35,1.0
246,0,246,engaged,1,0.9314689254596489,0,False,0.35,0.7221751479303694
247,0,247,engaged,1,0.9970164325383399,0,True,0.35,0.8628811539984922
248,0,248,engaged,1,0.36372925671478634,0,True,0.35,0.9543400579427719
249,0,249,engaged,1,1.737081778045536,0,True,0.35,1.0
250,0,250,engaged,1,1.6213144227650185,0,True,0.35,1.0
251,0,251,engaged,1,0.6545780058628022,0,True,0.35,1.0
252,0,252,engaged,1,0.7754256436241151,0,True,0.35,1.0
253,0,253,engaged,1,1.1290980124727021,0,True,0.35,1.0
254,0,254,engaged,1,0.8397971020712357,0,True,0.35,1.0
255,0,255,engaged,1,0.7211477213786287,0,False,0.35,0.7223984558999661
256,0,256,engaged,1,1.2699551525728257,0,True,0.35,0.86302630417873
257,0,257,engaged,1,1.3168997416913266,0,True,0.35,0.9544344055599265
258,0,258,engaged,1,1.552341305994257,0,True,0.35,1.0
259,0,259,engaged,1,3.118558740369005,0,True,0.35,1.0
260,0,260,engaged,1,1.2857741356188856,0,True,0.35,1.0
261,0,261,engaged,0,0.8607839251596138,2,False,0.35,1.0
262,0,262,disengaged,0,1.8935771297188135,2,False,0.05,1.0
263,0,263,disengaged,0,0.5818911512026809,1,False,0.05,1.0
264,0,264,disengaged,0,3.224290034838874,2,False,0.05,1.0
265,0,265,disengaged,0,2.741000085980677,1,False,0.05,1.0
266,0,266,disengaged,0,2.285340702521917,1,False,0.05,1.0
267,0,267,disengaged,0,2.1026882977891352,2,False,0.05,1.0
268,0,268,disengaged,0,1.0554230321977656,1,False,0.05,1.0
269,0,269,disengaged,0,0.40548447484802685,2,False,0.05,1.0
270,0,270,disengaged,1,0.9435754490612583,0,True,0.05,1.0
271,0,271,disengaged,0,2.120065331464235,2,False,0.05,1.0
272,0,272,engaged,1,2.090936484301412,0,True,0.35,1.0
273,0,273,engaged,1,4.565485173767065,0,True,0.35,1.0
274,0,274,engaged,1,1.020175379399388,0,True,0.35,1.0
275,0,275,engaged,1,0.4246309381486235,0,True,0.35,1.0
276,0,276,engaged,1,1.0510775521011615,0,False,0.35,0.725586215146796
277,0,277,disengaged,0,1.9408759034435656,2,False,0.05,0.725586215146796
278,0,278,engaged,1,0.6329395416190197,0,True,0.35,0.8650983476891694
279,0,279,disengaged,0,1.2590344798000763,1,False,0.05,0.8650983476891694
280,0,280,disengaged,0,1.7503256725142062,1,False,0.05,0.8650983476891694
281,0,281,disengaged,1,0.29691524644719125,0,True,0.05,0.8780530457109613
282,0,282,disengaged,1,0.2,0,True,0.05,0.8903600088316634
283,0,283,disengaged,0,0.34271050782374163,1,False,0.05,0.8903600088316634
284,0,284,disengaged,0,0.5314033650391153,2,False,0.05,0.8903600088316634
285,0,285,disengaged,1,3.3907916069535182,0,True,0.05,0.9020516237963305
286,0,286,engaged,1,2.401805684645315,0,True,0.35,0.9798008633113668
287,0,287,engaged,1,2.638857155323055,0,False,0.35,0.6368705611523885
288,0,288,engaged,1,0.5374444400393081,0,True,0.35,0.8074331725928044
289,0,289,engaged,1,1.9597419743679303,0,True,0.35,0.918298870029075
290,0,290,engaged,1,0.8512243332457097,0,True,0.35,0.9903615733626508
291,0,291,engaged,1,1.038480506443368,0,True,0.35,1.0
292,0,292,engaged,1,2.45538245501858,0,True,0.35,1.0
293,0,293,engaged,1,1.265448008057124,0,True,0.35,1.0
294,0,294,engaged,1,1.2876112926712098,0,True,0.35,1.0
295,0,295,engaged,1,1.173540073292353,0,True,0.35,1.0
296,0,296,engaged,1,0.6211078528101913,0,True,0.35,1.0
297,0,297,engaged,1,0.520421736188716,0,False,0.35,0.7241643126755052
298,0,298,engaged,0,0.6941767642493641,2,False,0.35,0.7241643126755052
299,0,299,engaged,1,1.677312260131175,0,True,0.35,0.8641741110828305
300,0,300,engaged,0,1.876087401321389,2,False,0.35,0.8641741110828305
301,0,301,engaged,0,0.30852378671180014,1,False,0.35,0.8641741110828305
302,0,302,engaged,1,0.8909381820202099,0,True,0.35,0.9551804800475918
303,0,303,engaged,1,1.2109473687991303,0,True,0.35,1.0
304,0,304,engaged,1,0.8431045080214575,0,True,0.35,1.0
305,0,305,engaged,1,0.3348000349373717,0,True,0.35,1.0
306,0,306,disengaged,0,0.37343994703272215,1,False,0.05,1.0
307,0,307,disengaged,0,0.3608690524880147,1,False,0.05,1.0
308,0,308,disengaged,0,1.9587328632835188,1,True,0.05,1.0
309,0,309,engaged,1,0.9203565233387989,0,True,0.35,1.0
310,0,310,engaged,1,1.8838950918198862,0,False,0.35,0.7111147163180203
311,0,311,engaged,1,1.8500691945692644,0,True,0.35,0.8556918734504652
312,0,312,disengaged,0,2.8748097662383163,1,True,0.05,0.8556918734504652
313,0,313,disengaged,0,0.3641256805721479,2,False,0.05,0.8556918734504652
314,0,314,disengaged,1,2.586243496014799,0,True,0.05,0.8691168951841922
315,0,315,disengaged,0,1.3355378644605909,2,False,0.05,0.8691168951841922
316,0,316,disengaged,0,0.6227181090443457,1,False,0.05,0.8691168951841922
317,0,317,disengaged,0,1.6004279497355662,1,False,0.05,0.8691168951841922
318,0,318,disengaged,1,0.9419602720918269,0,True,0.05,0.8818706658312329
319,0,319,disengaged,0,3.4223408747212423,2,False,0.05,0.8818706658312329
320,0,320,disengaged,0,0.6144358578861133,1,True,0.05,0.8818706658312329
321,0,321,disengaged,0,0.9013754059309569,2,False,0.05,0.8818706658312329
322,0,322,disengaged,0,1.5495087521985542,1,False,0.05,0.8818706658312329
323,0,323,disengaged,0,1.6184442783265922,2,False,0.05,0.8818706658312329
324,0,324,disengaged,1,1.0350628285364565,0,True,0.05,0.8939867479459216
325,0,325,disengaged,0,1.6933815510988368,2,False,0.05,0.8939867479459216
326,0,326,disengaged,1,0.7786233110222286,0,True,0.05,0.9054970259548758
327,0,327,disengaged,1,0.4590860122685828,0,True,0.05,0.9164317900633823
328,0,328,disengaged,0,0.6282498144181462,1,False,0.05,0.9164317900633823
329,0,329,engaged,1,1.0406842768301992,0,True,0.35,0.9891479713849505
330,0,330,engaged,1,1.5298639626926596,0,True,0.35,1.0
331,0,331,engaged,1,0.4661738273937424,0,True,0.35,1.0
332,0,332,engaged,1,0.2,0,True,0.35,1.0
333,0,333,engaged,1,0.6543291103429846,0,True,0.35,1.0
334,0,334,engaged,1,1.0070860470904173,0,True,0.35,1.0
335,0,335,engaged,1,1.3077307283599018,0,True,0.35,1.0
336,0,336,engaged,0,1.096363805602424,1,True,0.35,1.0
337,0,337,engaged,0,1.8414021418535145,1,False,0.35,1.0
338,0,338,engaged,1,1.307989583228491,0,True,0.35,1.0
339,0,339,engaged,1,1.2121898544536331,0,True,0.35,1.0
340,0,340,engaged,1,0.5386015409747748,0,True,0.35,1.0
341,0,341,engaged,1,0.2,0,True,0.35,1.0
342,0,342,engaged,1,3.4483870112498187,0,True,0.35,1.0
343,0,343,engaged,0,0.31590217191928,1,True,0.35,1.0
344,0,344,engaged,1,1.7187197137741574,0,True,0.35,1.0
345,0,345,engaged,1,1.1377954912148291,0,True,0.35,1.0
346,0,346,engaged,1,1.7875787157940917,0,True,0.35,1.0
347,0,347,engaged,1,0.9150048862241328,0,True,0.35,1.0
348,0,348,engaged,1,0.49129604099426305,0,True,0.35,1.0
349,0,349,engaged,1,1.7256554717810932,0,True,0.35,1.0
350,0,350,engaged,0,1.3506168594240422,1,False,0.35,1.0
351,0,351,engaged,1,1.296340438794753,0,False,0.35,0.7306670685115215
352,0,352,engaged,1,1.1125060764896224,0,True,0.35,0.868400902376241
353,0,353,engaged,1,0.35713866784994025,0,True,0.35,0.9579278943883087
354,0,354,engaged,1,0.593378076662117,0,True,0.35,1.0
355,0,355,engaged,1,0.8460783904268564,0,True,0.35,1.0
356,0,356,engaged,1,1.374014509909517,0,True,0.35,1.0
357,0,357,engaged,1,0.8364679161319297,0,True,0.35,1.0
358,0,358,engaged,0,2.28560648077045,1,False,0.35,1.0
359,0,359,engaged,1,0.9686173537158863,0,False,0.35,0.7114334962282727
360,0,360,engaged,1,0.5793269703716312,0,True,0.35,0.8558990803921293
361,0,361,engaged,1,1.4403396517526812,0,True,0.35,0.949801710098636
362,0,362,engaged,1,1.124261631330459,0,True,0.35,1.0
363,0,363,engaged,1,0.553584956810927,0,False,0.35,0.6570449726151126
364,0,364,engaged,0,1.5318665633857678,1,False,0.35,0.6570449726151126
365,0,365,engaged,1,0.7736798565609702,0,True,0.35,0.8205465400435752
366,0,366,engaged,1,0.3502301256426239,0,True,0.35,0.9268225588720759
367,0,367,engaged,1,2.128958307369919,0,True,0.35,0.9959019711106013
368,0,368,disengaged,0,1.6542523423592865,1,False,0.05,0.9959019711106013
369,0,369,disengaged,1,0.8487661691893944,0,True,0.05,1.0
370,0,370,engaged,0,0.8238297052137183,1,True,0.35,1.0
371,0,371,engaged,1,0.7973020883473907,0,True,0.35,1.0
372,0,372,disengaged,1,0.2,0,True,0.05,1.0
373,0,373,disengaged,1,0.6999664341264271,0,True,0.05,1.0
374,0,374,disengaged,0,0.2,2,False,0.05,1.0
375,0,375,disengaged,0,1.0394646501013214,1,False,0.05,1.0
376,0,376,disengaged,0,0.27614464643820424,1,False,0.05,1.0
377,0,377,disengaged,0,0.3043305746543883,2,False,0.05,1.0
378,0,378,disengaged,0,0.8013035280566669,1,False,0.05,1.0
379,0,379,disengaged,0,1.6842440546688717,2,False,0.05,1.0
380,0,380,disengaged,1,0.28712637602375235,0,True,0.05,1.0
381,0,381,disengaged,1,1.7897810328843569,0,True,0.05,1.0
382,0,382,disengaged,0,0.8537904748648106,1,False,0.05,1.0
383,0,383,disengaged,0,0.4825421580394863,2,False,0.05,1.0
384,0,384,disengaged,0,1.1087113898251006,2,False,0.05,1.0
385,0,385,disengaged,1,0.4676165707645185,0,True,0.05,1.0
386,0,386,disengaged,0,0.8314402576726898,1,False,0.05,1.0
387,0,387,disengaged,1,3.6491415817825192,0,True,0.05,1.0
388,0,388,disengaged,1,0.9001743036953488,0,True,0.05,1.0
389,0,389,disengaged,1,1.5319228378265697,0,True,0.05,1.0
390,0,390,disengaged,0,0.5103864040972826,2,False,0.05,1.0
391,0,391,disengaged,1,0.6322796957926552,0,True,0.05,1.0
392,0,392,engaged,1,0.2947742352314899,0,True,0.35,1.0
393,0,393,disengaged,1,2.487580308701922,0,False,0.05,1.0
394,0,394,disengaged,1,3.407655355774798,0,True,0.05,1.0
395,0,395,engaged,0,1.3972408417314657,2,False,0.35,1.0
396,0,396,engaged,1,1.5403549565557748,0,False,0.35,0.6769777400018249
397,0,397,engaged,0,0.20944944353479308,1,False,0.35,0.6769777400018249
398,0,398,engaged,1,0.576616659308218,0,True,0.35,0.8335028388449381
399,0,399,engaged,1,0.2,0,True,0.35,0.9352441530929618
400,0,400,engaged,1,1.440876706049489,0,True,0.35,1.0
401,0,401,engaged,1,1.5803895658522782,0,True,0.35,1.0
